Archivo Tiempo(ms) Memoria(KB)
testcases_3_1.txt 57.2291 21672
testcases_3_2.txt 10.7066 21672
testcases_3_3.txt 0.275577 21672
testcases_5_1.txt 7.85048 21672
testcases_5_2.txt 0.65225 21672
testcases_5_3.txt 0.986986 21672
testcases_8_1.txt 0.325541 21672
testcases_8_2.txt 5.66764 21672
testcases_8_3.txt 0.802125 21672
testcases_20_1.txt 48.1181 21672
testcases_20_2.txt 6.16946 21672
testcases_20_3.txt 136.431 21672
testcases_40_1.txt 613.944 21672
testcases_40_2.txt 1.01645 21672
testcases_40_3.txt 231.717 21672
testcases_80_1.txt 8.77032 21672
testcases_80_2.txt 232.016 21672
testcases_80_3.txt 173.64 21672
testcases_100_1.txt 243.128 21672
testcases_100_2.txt 58.3748 21672
testcases_100_3.txt 4.37365 21672
testcases_150_1.txt 783.606 21672
testcases_150_2.txt 1260.98 21672
testcases_150_3.txt 1101.58 21672
testcases_200_1.txt 173.833 21672
testcases_200_2.txt 5.58057 21672
testcases_200_3.txt 16.2339 21672
