Archivo Tiempo(ms) Memoria(KB)
testcases_3_1.txt 0.005781 3584
testcases_3_2.txt 0.002411 3712
testcases_3_3.txt 0.00225 3712
testcases_5_1.txt 0.002155 3712
testcases_5_2.txt 0.003303 3712
testcases_5_3.txt 0.00339 3712
testcases_8_1.txt 0.002145 3712
testcases_8_2.txt 0.004197 3712
testcases_8_3.txt 0.003921 3712
testcases_20_1.txt 0.005412 3712
testcases_20_2.txt 0.009047 3712
testcases_20_3.txt 0.011107 3712
testcases_40_1.txt 0.057172 3840
testcases_40_2.txt 0.009228 3840
testcases_40_3.txt 0.014042 3840
testcases_80_1.txt 0.015038 3840
testcases_80_2.txt 0.030428 3840
testcases_80_3.txt 0.022956 3840
testcases_100_1.txt 0.017839 3840
testcases_100_2.txt 0.019121 3840
testcases_100_3.txt 0.010557 3840
testcases_150_1.txt 0.037985 3840
testcases_150_2.txt 0.028519 3840
testcases_150_3.txt 0.027665 3840
testcases_200_1.txt 0.036979 3840
testcases_200_2.txt 0.011507 3840
testcases_200_3.txt 0.011108 3840
